,name,details.link,details.line,details.Layout,details.latitude,details.longitude
181,Saket,https://en.wikipedia.org/wiki/Saket_(Delhi_Metro),Yellow Line,Underground,28.5205465,77.2003645
182,Samaypur Badli,https://en.wikipedia.org/wiki/Samaypur_Badli_metro_station,Yellow Line,Elevated,28.7446341,77.1378939
183,Sant Surdas (Sihi),https://en.wikipedia.org/wiki/Sant_Surdas_(Sihi)_metro_station,Violet Line,Elevated,28.3546852,77.3161621
184,Sarai,https://en.wikipedia.org/wiki/Sarai_metro_station,Violet Line,Elevated,28.478064,77.304859
185,Sarita Vihar,https://en.wikipedia.org/wiki/Sarita_Vihar_(Delhi_Metro),Violet Line,Elevated,28.5291048,77.2876438
186,Sarojini Nagar,https://en.wikipedia.org/wiki/Sarojini_Nagar_metro_station,Pink Line,Underground,28.5759184,77.1976505
187,Satguru Ramsingh Marg,https://en.wikipedia.org/wiki/Satguru_Ramsingh_Marg_(Delhi_Metro),Green Line branch,Elevated,28.66192,77.157455
188,Sector 28,https://en.wikipedia.org/wiki/Sector_28_metro_station,Violet Line,Elevated,28.438325,77.309096
189,Seelampur,https://en.wikipedia.org/wiki/Seelampur_(Delhi_Metro),Red Line,At Grade,28.669824,77.266738
190,Shadipur,https://en.wikipedia.org/wiki/Shadipur_(Delhi_Metro),Blue Line,Elevated,28.651955,77.157626
191,Shahdara,https://en.wikipedia.org/wiki/Shahdara_(Delhi_Metro),Red Line,At Grade,28.673476,77.289923
192,Shaheed Nagar,https://en.wikipedia.org/wiki/Shahid_Nagar_metro_station,Red Line,Elevated,28.676632,77.333759
193,Shaheed Sthal,https://en.wikipedia.org/wiki/Shaheed_Sthal_metro_station,Red Line,Elevated,28.670621,77.415453
194,Shakurpur,https://en.wikipedia.org/wiki/Shakurpur_metro_station,Pink Line,Elevated,28.6859557,77.1487693
195,Shalimar Bagh,https://en.wikipedia.org/wiki/Shalimar_Bagh_metro_station,Pink Line,Underground,28.7019762,77.1640954
196,Shankar Vihar,https://en.wikipedia.org/wiki/Shankar_Vihar_metro_station,Magenta Line,Elevated,28.560649,77.139796
197,Shastri Nagar,https://en.wikipedia.org/wiki/Shastri_Nagar_(Delhi_Metro),Red Line,Elevated,28.670134,77.181785
198,Shastri Park,https://en.wikipedia.org/wiki/Shastri_Park_(Delhi_Metro),Red Line,At Grade,28.668204,77.250098
199,Shiv Vihar,https://en.wikipedia.org/wiki/Shiv_Vihar_metro_station,Pink Line,Elevated,28.7214626,77.2893977
200,Shivaji Park,https://en.wikipedia.org/wiki/Shivaji_Park_(Delhi_Metro),Green Line,Elevated,28.674944,77.130347
201,Shivaji Stadium,https://en.wikipedia.org/wiki/Shivaji_Stadium_(Delhi_Metro),Orange Line,Underground,28.628788,77.211406
202,Shyam Park,https://en.wikipedia.org/wiki/Shyam_Park_metro_station,Red Line,Elevated,28.678232,77.370902
203,Sikandarpur,https://en.wikipedia.org/wiki/Sikandarpur_(Delhi_Metro),Yellow Line,Elevated,28.48139,77.09306
204,Sir Vishweshwaraiah Moti Bagh,https://en.wikipedia.org/wiki/Moti_Bagh_metro_station,Pink Line,Elevated,28.578352,77.174934
205,South Extension,https://en.wikipedia.org/wiki/South_Extension_metro_station,Pink Line,Underground,28.5686954,77.2196112
206,Subhash Nagar,https://en.wikipedia.org/wiki/Subhash_Nagar_(Delhi_Metro),Blue Line,Elevated,28.640431,77.104905
